namespace,name,url,lang,route_count,browser_routes,config_required_routes,anti_crawler_routes,categories
cccmc,中国五矿化工进出口商会,www.cccmc.org.cn,zh-CN,1,0,0,0,new-media
ccf,中国计算机学会,ccf.org.cn,zh-CN,1,0,0,0,study
ccfa,中国连锁经营协会,ccfa.org.cn,zh-CN,1,0,0,0,new-media
ccg,全球化智库,ccg.org.cn,zh-CN,1,0,0,0,new-media
ccmn,长江有色网,www.ccmn.cn,zh-CN,1,0,0,0,other
ccnu,华中师范大学,ccnu.91wllm.com,zh-CN,4,0,0,1,university
ccreports,消费者报道,www.ccreports.com.cn,zh-CN,1,0,0,0,shopping
cctv,央视新闻,news.cctv.com,zh-CN,4,0,0,0,traditional-media
cczu,常州大学,www.cczu.edu.cn,zh-CN,2,0,0,1,university
cde,国家药品审评网站,www.cde.org.cn,zh-CN,3,0,0,0,government
cdi,国家高端智库 / 综合开发研究院,cdi.com.cn,zh-CN,1,0,0,0,new-media
cdu,成都大学,www.cdu.edu.cn,zh-CN,3,0,0,0,university
cdzjryb,成都住建蓉 e 办,zw.cdzjryb.com,zh-CN,1,0,0,0,other
ce,中国经济网,www.ce.cn,zh-CN,1,0,0,0,traditional-media
cebbank,中国光大银行,cebbank.com,zh-CN,2,0,0,0,other
cefco,亚布力中国企业家论坛,www.cefco.cn,zh-CN,1,0,0,0,other
cell,Cell,www.cell.com,en,2,0,0,0,journal
centbrowser,Cent Browser,centbrowser.cn,zh-CN,1,0,0,0,program-update
ceph,Ceph,ceph.io,en,1,0,0,0,blog
cfachina,中国期货业协会,cfachina.org,zh-CN,1,0,0,0,other
cffex,中国金融期货交易所,cffex.com.cn,zh-CN,1,0,0,0,government
cfmmc,中国期货市场监控中心,cfmmc.com,zh-CN,1,0,0,0,finance
cfr,Council on Foreign Relations,www.cfr.org,en,1,0,0,1,traditional-media
cgtn,中国环球电视网,cgtn.com,zh-CN,3,0,0,0,new-media;traditional-media
chaincatcher,链捕手 ChainCatcher,chaincatcher.com,zh-CN,2,0,0,0,new-media
changba,唱吧,changba.com,zh-CN,1,0,0,0,social-media
chaoli,超理论坛,chaoli.club,zh-CN,1,0,0,0,bbs
chaoxing,超星,chaoxing.com,zh-CN,1,0,0,1,reading
chaping,差评,chaping.cn,zh-CN,3,0,0,0,new-media
checkee,checkee.info,www.checkee.info,en,1,0,0,0,other
checkra.in,Checkra1n,checkra.in,en,1,0,0,0,program-update
cherrytimes,Cherry Times,cherrytimes.it,,1,0,0,0,new-media
chicagotribune,Chicago Tribune,www.chicagotribune.com,en,1,0,0,0,traditional-media
chiculture,通識・現代中國,chiculture.org.hk,zh-HK,1,0,0,0,new-media
chikubi,乳首ふぇち,chikubi.jp,ja,7,0,0,0,multimedia
chinacdc,中国疾病预防控制中心,www.chinacdc.cn,zh-CN,1,0,0,0,government
chinadaily,中国日报网,chinadaily.com.cn,zh-CN,1,0,0,0,traditional-media
chinadegrees,中华人民共和国学位证书查询,chinadegrees.com.cn,zh-CN,1,1,0,0,study
chinafactcheck,有据,chinafactcheck.com,zh-CN,1,0,0,0,other
chinafile,ChinaFile,www.chinafile.com,en,1,0,0,0,new-media
chinaisa,中国钢铁工业协会,chinaisa.org.cn,zh-CN,1,0,0,0,new-media
