namespace,namespace_name,namespace_url,namespace_lang,route_path,route_name,category,uses_browser,requirePuppeteer_flag,anti_crawler,require_config_vars,file
latexstudio,LaTeX 开源小屋,www.latexstudio.net,zh-CN,/latexstudio/home,首页,blog,False,False,False,,lib/routes/latexstudio/home.ts
layoffs,Layoffs.fyi,layoffs.fyi,en,/layoffs/,Apple,other,False,False,False,,lib/routes/layoffs/index.ts
leagueoflegends,League of Legends,leagueoflegends.com,en,/leagueoflegends/patch-notes,Patch Notes,game,False,False,False,,lib/routes/leagueoflegends/patch-notes.ts
learnblockchain,登链社区,learnblockchain.cn,zh-CN,/learnblockchain/posts/:cid/:sort?,文章,programming,False,False,False,,lib/routes/learnblockchain/posts.ts
learnku,LearnKu,learnku.com,zh-CN,/learnku/:community/:category?,社区,bbs,False,False,False,,lib/routes/learnku/topic.tsx
leemeng,LeeMeng,leemeng.tw,zh-TW,/leemeng/,blog,blog,False,False,False,,lib/routes/leemeng/index.ts
leetcode,LeetCode,leetcode.com,en,/leetcode/articles,Articles,programming,False,False,False,,lib/routes/leetcode/articles.ts
leetcode,LeetCode,leetcode.com,en,/leetcode/dailyquestion/cn,每日一题,programming,False,False,False,,lib/routes/leetcode/dailyquestion-cn.ts
leetcode,LeetCode,leetcode.com,en,/leetcode/dailyquestion/en,Daily Question,programming,False,False,False,,lib/routes/leetcode/dailyquestion-en.ts
leetcode,LeetCode,leetcode.com,en,/leetcode/dailyquestion/solution/cn,每日一题题解,programming,False,False,False,,lib/routes/leetcode/dailyquestion-solution-cn.ts
leetcode,LeetCode,leetcode.com,en,/leetcode/dailyquestion/solution/en,Daily Question Solution,programming,False,False,False,,lib/routes/leetcode/dailyquestion-solution-en.ts
leiphone,雷峰网,leiphone.com,zh-CN,/leiphone/category/:catname,栏目,new-media,False,False,False,,lib/routes/leiphone/category.ts
leiphone,雷峰网,leiphone.com,zh-CN,/leiphone/,最新文章,new-media,False,False,False,,lib/routes/leiphone/index.ts
leiphone,雷峰网,leiphone.com,zh-CN,/leiphone/newsflash,业界资讯,new-media,False,False,False,,lib/routes/leiphone/newsflash.ts
lemmy,Lemmy,join-lemmy.org,en,/lemmy/:community/:sort?,Community,social-media,False,False,False,ALLOW_USER_SUPPLY_UNSAFE_DOMAIN,lib/routes/lemmy/index.ts
lemonde,Le Monde,lemonde.fr,fr,/lemonde/en/:category?,News (English),traditional-media,False,False,False,,lib/routes/lemonde/en.ts
lemonde,Le Monde,lemonde.fr,fr,/lemonde/:category?,News,traditional-media,False,False,False,,lib/routes/lemonde/index.ts
lenovo,联想,lenovo.com.cn,zh-CN,/lenovo/drive/:selName,驱动,program-update,False,False,False,,lib/routes/lenovo/drive.tsx
lens,Lens,www.lens.xyz,en,/lens/profile/:handle,Lens Profile,social-media,False,False,False,,lib/routes/lens/profile.ts
lephoceen,Le Phocéen,lephoceen.fr,,/lephoceen/chrono,Fil Info Le Phocéen (Chrono),sport,False,False,False,,lib/routes/lephoceen/chrono.ts
letterboxd,Letterboxd,letterboxd.com,en,/letterboxd/user/followingdiary/:username,Following diary,new-media,False,False,False,,lib/routes/letterboxd/followingdiary.ts
letterboxd,Letterboxd,letterboxd.com,en,/letterboxd/:username/watchlist,User Watchlist,social-media,False,False,False,,lib/routes/letterboxd/index.ts
letterboxd,Letterboxd,letterboxd.com,en,/letterboxd/user/diary/:username,User diary,new-media,False,False,False,,lib/routes/letterboxd/userdiary.ts
lfsyd,旅法师营地,www.iyingdi.com,zh-CN,/lfsyd/home,首页,game,False,False,False,,lib/routes/lfsyd/home.ts
